municipality,var
Oslo,3.5
Aremark,3.0
Fredrikstad,2.5
Halden,3.0
Hvaler,2.0
Marker,3.0
Moss,3.0
Rakkestad,3.0
Råde,2.5
Sarpsborg,3.0
Skiptvet,3.0
Våler Østfold,3.0
Indre Østfold,3.0
Bærum,3.5
Gjerdrum,4.5
Hurdal,5.0
Lørenskog,4.0
Nannestad,4.5
Nes Akershus,3.5
Nesodden,3.5
Rælingen,4.0
Ullensaker,4.5
Vestby,3.5
Ås,3.5
Enebakk,4.0
Aurskog-Høland,3.0
Lillestrøm,4.0
Nittedal,4.5
Nordre Follo,3.5
Eidsvoll,4.5
Asker,4.0
Frogn,4.0
Alvdal,4.0
Eidskog,3.5
Elverum,4.0
Engerdal,4.0
Folldal,4.0
Grue,3.5
Hamar,3.5
Kongsvinger,3.5
Løten,4.5
Nord-Odal,3.5
Os Innlandet,4.0
Bjørnafjorden,4.0
Rendalen,4.0
Ringsaker,5.5
Stange,4.5
Stor-Elvdal,4.0
Sør-Odal,3.5
Tolga,4.0
Trysil,4.0
Tynset,4.0
Våler Innlandet,5.5
Åmot,4.0
Åsnes,3.5
Dovre,4.0
Etnedal,4.5
Gausdal,4.5
Gjøvik,4.5
Gran,4.0
Jevnaker,4.0
Lesja,4.0
Lillehammer,4.5
Lom,3.5
Lunner,4.5
Nord-Aurdal,4.5
Nord-Fron,4.0
Nordre Land,4.5
Ringebu,4.0
Sel,3.5
Skjåk,3.5
Søndre Land,4.5
Sør-Aurdal,4.5
Sør-Fron,4.0
Vang,4.5
Vestre Slidre,4.5
Vestre Toten,4.5
Vågå,3.5
Østre Toten,4.5
Øyer,4.0
Øystre Slidre,5.5
Drammen,3.5
Flesberg,6.5
Flå,3.5
Gol,4.0
Hemsedal,4.5
Hol,5.0
Hole,3.0
Kongsberg,5.0
Krødsherad,4.5
Lier,3.5
Modum,4.5
Nes Buskerud,4.5
Nore og Uvdal,5.5
Ringerike,3.5
Rollag,4.5
Sigdal,5.5
Øvre Eiker,4.5
Ål,4.5
Nesbyen,4.5
Færder,3.0
Holmestrand,4.5
Horten,4.0
Larvik,5.0
Sandefjord,4.5
Tønsberg,4.0
Bamble,4.0
Drangedal,4.5
Fyresdal,4.5
Hjartdal,4.5
Kragerø,4.5
Kviteseid,4.5
Nissedal,4.5
Nome,4.0
Notodden,4.0
Porsgrunn,4.0
Seljord,4.5
Siljan,5.0
Skien,4.0
Tinn,4.5
Tokke,4.5
Vinje,5.0
Midt-Telemark,4.0
Arendal,4.5
Birkenes,4.5
Bygland,4.5
Bykle,5.0
Evje og Hornnes,4.5
Froland,4.5
Gjerstad,4.5
Grimstad,4.5
Iveland,4.5
Lillesand,4.5
Risør,4.5
Tvedestrand,4.5
Valle,5.0
Vegårshei,4.5
Åmli,4.5
Farsund,2.5
Flekkefjord,2.5
Hægebostad,4.5
Kristiansand,4.0
Kvinesdal,3.0
Lindesnes,3.0
Lyngdal,3.0
Sirdal,3.0
Vennesla,4.5
Åseral,4.5
Bjerkreim,2.0
Bokn,1.5
Eigersund,2.0
Gjesdal,2.0
Haugesund,1.5
Hjelmeland,1.5
Hå,1.5
Karmøy,1.5
Klepp,1.5
Kvitsøy,1.5
Lund,3.0
Randaberg,1.5
Sandnes,1.5
Sauda,2.5
Sokndal,2.5
Sola,1.5
Stavanger,1.5
Strand,1.5
Suldal,2.5
Time,1.5
Tysvær,2.0
Vindafjord,2.0
Askøy,1.5
Austevoll,1.5
Austrheim,1.5
Bergen,2.0
Bømlo,1.5
Eidfjord,3.0
Etne,2.0
Fedje,1.5
Fitjar,1.5
Fusa,3.0
Jondal,2.5
Kvam,2.5
Kvinnherad,2.0
Lindås,2.5
Masfjorden,3.0
Meland,1.5
Modalen,3.0
Odda,2.5
Os Vestland,2.0
Osterøy,2.5
Voss,3.0
Øygarden,1.5
Ullensvang,2.5
Alver,2.5
Vaksdal,4.5
Samnanger,3.0
Ulvik,3.0
Sveio,2.0
Stord,2.0
Tysnes,2.0
Askvoll,2.5
Aurland,2.5
Bremanger,2.5
Stad,4.0
Fjaler,3.0
Kinn,2.5
Førde,3.5
Gloppen,3.5
Gulen,2.5
Hornindal,4.0
Hyllestad,2.5
Høyanger,2.5
Jølster,3.5
Leikanger,2.5
Luster,3.0
Lærdal,2.5
Naustdal,3.0
Sogndal,2.5
Solund,2.0
Stryn,3.5
Vik,2.5
Årdal,2.5
Sunnfjord,3.5
Aukra,3.0
Aure,4.5
Averøy,3.5
Hustadvika,3.5
Fræna,3.5
Giske,3.0
Gjemnes,4.5
Halsa,4.5
Haram,2.5
Hareid,3.0
Herøy Møre og Romsdal,2.5
Kristiansund,3.5
Midsund,3.0
Molde,3.5
Nesset,4.5
Norddal,4.5
Rauma,4.5
Rindal,4.5
Sande,2.5
Skodje,4.0
Smøla,2.5
Stordal,4.5
Stranda,4.5
Sula,3.0
Sunndal,4.5
Surnadal,4.5
Sykkylven,4.5
Tingvoll,4.5
Ulstein,3.0
Vanylven,3.0
Vestnes,3.5
Volda,4.0
Ørskog,4.0
Fjord,4.5
Ørsta,4.5
Ålesund,3.0
Flatanger,3.0
Frosta,2.5
Frøya,2.5
Grong,3.0
Heim,4.5
Hitra,3.5
Holtålen,4.5
Høylandet,6.0
Inderøy,4.5
Indre Fosen,4.5
Klæbu,4.0
Leka,2.5
Levanger,4.0
Lierne,5.5
Malvik,3.5
Orkland,4.5
Meråker,4.5
Midtre Gauldal,4.5
Namsos,4.0
Namsskogan,7.5
Oppdal,4.5
Selbu,3.5
Trondheim,3.5
Tydal,7.0
Verdal,3.5
Ørland,3.0
Stjørdal,3.5
Osen,3.0
Skaun,4.0
Melhus,4.0
Nærøysund,2.5
Steinkjer,3.5
Åfjord,3.0
Rennebu,4.5
Overhalla,5.5
Røros,4.5
Røyrvik,8.0
Snåsa,4.0
Alstahaug,3.5
Andøy,4.5
Ballangen,4.5
Beiarn,4.5
Bindal,4.0
Bodø,4.5
Brønnøy,4.0
Bø Vesterålen,4.5
Dønna,3.0
Evenes,4.5
Fauske,4.5
Flakstad,4.0
Gildeskål,4.0
Grane,7.5
Hadsel,4.0
Hamarøy,4.0
Hattfjelldal,8.5
Hemnes,5.0
Herøy Nordland,2.5
Leirfjord,4.0
Lurøy,4.0
Lødingen,4.5
Meløy,4.0
Moskenes,4.0
Narvik,4.5
Nesna,4.0
Rana,5.0
Rødøy,4.0
Saltdal,4.5
Sortland,5.0
Steigen,4.0
Sømna,4.0
Sørfold,4.5
Tjeldsund,4.5
Tysfjord,4.5
Vefsn,5.0
Vega,2.5
Vestvågøy,4.0
Vevelstad,4.5
Værøy,1.5
Vågan,4.0
Øksnes,4.5
Balsfjord,5.5
Bardu,5.0
Dyrøy,6.0
Kåfjord,5.0
Gratangen,5.0
Harstad,5.0
Ibestad,5.0
Karlsøy,5.0
Kvæfjord,5.0
Kvænangen,4.5
Lavangen,5.0
Lenvik,6.0
Lyngen,5.0
Målselv,5.0
Nordreisa,5.0
Salangen,5.0
Skjervøy,4.5
Storfjord,5.0
Sørreisa,5.5
Senja,5.0
Tranøy,5.5
Tromsø,6.0
Alta,4.5
Berlevåg,4.0
Båtsfjord,4.0
Deatnu,4.0
Gamvik,4.5
Kautokeino,4.0
Hammerfest,5.0
Hasvik,5.0
Karasjok,4.0
Kvalsund,5.0
Lebesby,4.5
Loppa,5.0
Måsøy,5.0
Nordkapp,5.0
Porsanger,4.5
Sør-Varanger,4.0
Nesseby,4.0
Vadsø,4.0
